, Fwd Packet Length Max, Fwd Packet Length Min, Min Packet Length, Max Packet Length, Average Packet Size, Label
205005,6.0,6.0,6.0,6.0,7.0,LDAP
205009,6.0,6.0,6.0,6.0,7.5,LDAP
205012,6.0,6.0,6.0,6.0,7.0,LDAP
205013,6.0,6.0,6.0,6.0,7.0,LDAP
205016,229.0,229.0,229.0,229.0,343.5,LDAP
205017,229.0,229.0,229.0,229.0,343.5,LDAP
205050,648.0,0.0,0.0,976.0,120.15584415584415,LDAP
205051,0.0,0.0,0.0,0.0,0.0,LDAP
205052,52.0,52.0,0.0,52.0,52.0,LDAP
205053,0.0,0.0,0.0,6.0,4.0,LDAP
205054,6.0,6.0,6.0,6.0,7.0,LDAP
205055,53.0,53.0,53.0,53.0,79.5,LDAP
205056,53.0,53.0,53.0,53.0,79.5,LDAP
205070,6.0,6.0,6.0,6.0,7.0,LDAP
205346,6.0,6.0,6.0,6.0,7.0,LDAP
205354,6.0,6.0,6.0,6.0,7.0,LDAP
205445,6.0,6.0,6.0,6.0,7.0,LDAP
205599,6.0,6.0,6.0,6.0,7.5,LDAP
205609,0.0,0.0,0.0,0.0,0.0,LDAP
205612,1472.0,1472.0,1472.0,1472.0,2208.0,LDAP
205613,520.0,520.0,520.0,520.0,780.0,LDAP
205614,1472.0,1472.0,1472.0,1472.0,2208.0,LDAP
205615,520.0,520.0,520.0,520.0,780.0,LDAP
205616,1472.0,1472.0,1472.0,1472.0,2208.0,LDAP
205617,520.0,520.0,520.0,520.0,780.0,LDAP
205618,1472.0,1472.0,1472.0,1472.0,2208.0,LDAP
205619,520.0,520.0,520.0,520.0,780.0,LDAP
205620,1472.0,1472.0,1472.0,1472.0,2208.0,LDAP
205621,1472.0,1472.0,1472.0,1472.0,2208.0,LDAP
205622,520.0,520.0,520.0,520.0,780.0,LDAP
205623,520.0,520.0,520.0,520.0,780.0,LDAP
205624,1472.0,1472.0,1472.0,1472.0,2208.0,LDAP
205625,1472.0,1472.0,1472.0,1472.0,2208.0,LDAP
205626,1472.0,1472.0,1472.0,1472.0,2208.0,LDAP
205627,1472.0,1472.0,1472.0,1472.0,2208.0,LDAP
205628,1472.0,1472.0,1472.0,1472.0,2208.0,LDAP
205629,1472.0,1472.0,1472.0,1472.0,2208.0,LDAP
205630,1472.0,1472.0,1472.0,1472.0,2208.0,LDAP
205631,1472.0,1472.0,1472.0,1472.0,2208.0,LDAP
