, Destination Port, Protocol, Fwd Packet Length Std, Packet Length Std, min_seg_size_forward, Label
25742,14566,17,0.0,0.0,44,UDP
25743,2225,17,0.0,0.0,44,UDP
25744,3815,17,0.0,0.0,44,UDP
25745,5288,17,0.0,0.0,44,UDP
25746,45900,17,0.0,0.0,44,UDP
25747,52740,17,0.0,0.0,44,UDP
25748,63345,17,0.0,0.0,32,UDP
25749,48130,17,0.0,0.0,32,UDP
25750,4412,17,0.0,0.0,32,UDP
25751,59885,17,0.0,0.0,32,UDP
25752,42953,17,0.0,0.0,32,UDP
25753,14260,17,0.0,0.0,32,UDP
25754,14260,17,0.0,0.0,32,UDP
25755,42700,17,0.0,0.0,32,UDP
25756,34052,17,0.0,0.0,32,UDP
25757,27174,17,0.0,0.0,32,UDP
25758,47678,17,0.0,0.0,32,UDP
25759,13954,17,0.0,0.0,32,UDP
25760,10036,17,0.0,0.0,32,UDP
25761,9811,17,0.0,0.0,32,UDP
25762,38412,17,0.0,0.0,32,UDP
25763,22,6,0.0,0.0,32,UDP
25764,34728,6,0.0,0.0,32,UDP
25765,47785,17,0.0,0.0,32,UDP
25766,59327,17,0.0,0.0,32,UDP
25767,50182,17,0.0,0.0,32,UDP
25768,9488,17,0.0,0.0,32,UDP
25769,57389,17,0.0,0.0,32,UDP
25770,28797,17,0.0,0.0,32,UDP
25771,28797,17,0.0,0.0,32,UDP
25772,29195,17,0.0,0.0,32,UDP
25773,3815,17,0.0,0.0,32,UDP
25774,3119,17,0.0,0.0,32,UDP
25775,12584,17,0.0,0.0,32,UDP
25776,22116,17,0.0,0.0,32,UDP
25777,40463,17,0.0,0.0,32,UDP
25778,1063,17,0.0,0.0,32,UDP
25779,21657,17,0.0,0.0,32,UDP
25780,19030,17,0.0,0.0,32,UDP
25783,43012,17,0.0,0.0,32,UDP
25784,19081,17,0.0,0.0,32,UDP
25785,21848,17,0.0,0.0,32,UDP
25790,32812,17,0.0,0.0,20,UDP
25791,25754,17,0.0,0.0,20,UDP
25792,40282,17,0.0,0.0,20,UDP
25793,40282,17,0.0,0.0,20,UDP
25794,58828,17,0.0,0.0,20,UDP
25795,54641,17,0.0,0.0,20,UDP
25796,54069,17,0.0,0.0,20,UDP
25797,3303,17,0.0,0.0,20,UDP
25798,4769,17,0.0,0.0,20,UDP
25799,34840,17,0.0,0.0,20,UDP
25800,22793,17,0.0,0.0,20,UDP
25801,45870,17,0.0,0.0,20,UDP
25802,22738,17,0.0,0.0,20,UDP
25803,47536,17,0.0,0.0,20,UDP
25804,62958,17,0.0,0.0,20,UDP
25805,2651,17,0.0,0.0,20,UDP
25806,60462,17,0.0,0.0,20,UDP
25808,9829,17,0.0,0.0,20,UDP
25809,9829,17,0.0,0.0,20,UDP
25810,40166,17,0.0,0.0,20,UDP
25811,21384,17,0.0,0.0,20,UDP
25812,2490,17,0.0,0.0,20,UDP
25813,60931,17,0.0,0.0,20,UDP
25814,50962,17,0.0,0.0,32,UDP
25815,10159,17,0.0,0.0,32,UDP
25816,353,17,0.0,0.0,32,UDP
25817,28238,17,0.0,0.0,32,UDP
25818,13743,17,0.0,0.0,32,UDP
25819,24625,17,0.0,0.0,32,UDP
25820,53663,17,0.0,0.0,32,UDP
25821,5751,17,0.0,0.0,32,UDP
25822,33003,17,0.0,0.0,32,UDP
25823,61775,17,0.0,0.0,32,UDP
25824,57451,17,0.0,0.0,32,UDP
25825,57451,17,0.0,0.0,32,UDP
25826,33000,17,0.0,0.0,32,UDP
25827,20141,17,0.0,0.0,40,UDP
25828,59821,17,0.0,0.0,40,UDP
25829,33556,17,0.0,0.0,40,UDP
25830,63450,17,0.0,0.0,40,UDP
25831,51824,17,0.0,0.0,40,UDP
25832,55875,17,0.0,0.0,40,UDP
25833,7863,17,0.0,0.0,40,UDP
25834,6347,17,0.0,0.0,40,UDP
25835,52810,17,0.0,0.0,40,UDP
25836,9037,17,0.0,0.0,40,UDP
25837,35289,17,0.0,0.0,40,UDP
25838,3354,17,0.0,0.0,40,UDP
25839,52274,17,0.0,0.0,40,UDP
25840,52274,17,0.0,0.0,40,UDP
25841,41440,17,0.0,0.0,40,UDP
25842,47445,17,0.0,0.0,40,UDP
25843,22237,17,0.0,0.0,40,UDP
25844,34240,17,0.0,0.0,40,UDP
25845,65505,17,0.0,0.0,40,UDP
25846,52260,17,0.0,0.0,40,UDP
25847,17816,17,0.0,0.0,40,UDP
25848,19278,17,0.0,0.0,40,UDP
25849,8775,17,0.0,0.0,40,UDP
25850,28181,17,0.0,0.0,40,UDP
25851,32095,17,0.0,0.0,40,UDP
25852,9936,17,0.0,0.0,40,UDP
25853,10819,17,0.0,0.0,40,UDP
25854,52054,17,0.0,0.0,40,UDP
25855,65478,17,0.0,0.0,40,UDP
25856,65478,17,0.0,0.0,40,UDP
25857,40741,17,0.0,0.0,40,UDP
25858,20224,17,0.0,0.0,40,UDP
25859,15454,17,0.0,0.0,40,UDP
25860,50486,17,0.0,0.0,32,UDP
25863,22011,17,0.0,0.0,40,UDP
25864,63550,17,0.0,0.0,40,UDP
25865,63272,17,0.0,0.0,32,UDP
25866,34504,17,0.0,0.0,32,UDP
25867,11330,17,0.0,0.0,32,UDP
25868,12220,17,0.0,0.0,32,UDP
25869,37374,17,0.0,0.0,32,UDP
25870,306,17,0.0,0.0,32,UDP
25871,31371,17,0.0,0.0,32,UDP
25872,46163,17,0.0,0.0,32,UDP
25873,46163,17,0.0,0.0,32,UDP
25874,4919,17,0.0,0.0,32,UDP
25875,33720,17,0.0,0.0,32,UDP
25876,49990,17,0.0,0.0,32,UDP
25877,53597,17,0.0,0.0,32,UDP
25878,59907,17,0.0,0.0,32,UDP
25879,36023,17,0.0,0.0,32,UDP
25880,44135,17,0.0,0.0,32,UDP
25881,12011,17,0.0,0.0,32,UDP
25882,1003,17,0.0,0.0,32,UDP
25883,48000,17,0.0,0.0,32,UDP
25884,63876,17,0.0,0.0,32,UDP
25885,58394,17,0.0,0.0,32,UDP
25886,41465,17,0.0,0.0,32,UDP
25887,15591,17,0.0,0.0,32,UDP
25888,15591,17,0.0,0.0,32,UDP
25890,31829,17,0.0,0.0,32,UDP
25891,33798,17,0.0,0.0,32,UDP
25892,28565,17,0.0,0.0,20,UDP
25893,60326,17,0.0,0.0,20,UDP
25894,25031,17,0.0,0.0,20,UDP
25895,61749,17,0.0,0.0,20,UDP
25896,19382,17,0.0,0.0,20,UDP
25897,31449,17,0.0,0.0,20,UDP
25898,16437,17,0.0,0.0,20,UDP
25899,18763,17,0.0,0.0,20,UDP
25900,36507,17,0.0,0.0,20,UDP
25901,46938,17,0.0,0.0,20,UDP
25902,49247,17,0.0,0.0,20,UDP
25903,30171,17,0.0,0.0,20,UDP
25904,30171,17,0.0,0.0,20,UDP
25905,19911,17,0.0,0.0,20,UDP
25906,9442,17,0.0,0.0,20,UDP
25907,16021,17,0.0,0.0,20,UDP
25908,9413,17,0.0,0.0,20,UDP
25909,55023,17,0.0,0.0,20,UDP
25910,62808,17,0.0,0.0,20,UDP
25911,28663,17,0.0,0.0,20,UDP
25912,17877,17,0.0,0.0,20,UDP
25913,49248,17,0.0,0.0,20,UDP
25914,16599,17,0.0,0.0,20,UDP
25915,25090,17,0.0,0.0,20,UDP
25916,5037,17,0.0,0.0,20,UDP
25917,58701,17,0.0,0.0,20,UDP
25918,18242,17,0.0,0.0,20,UDP
25919,3376,17,0.0,0.0,20,UDP
25920,3376,17,0.0,0.0,20,UDP
25921,28852,17,0.0,0.0,20,UDP
25922,2830,17,0.0,0.0,20,UDP
25923,18317,17,0.0,0.0,20,UDP
25924,47366,17,0.0,0.0,20,UDP
25925,1026,17,0.0,0.0,20,UDP
25926,16583,17,0.0,0.0,20,UDP
25927,43559,17,0.0,0.0,20,UDP
25928,57526,17,0.0,0.0,20,UDP
25929,2616,17,0.0,0.0,20,UDP
25930,6677,17,0.0,0.0,20,UDP
25931,2684,17,0.0,0.0,20,UDP
25932,25148,17,0.0,0.0,20,UDP
25933,42755,17,0.0,0.0,20,UDP
25934,14868,17,0.0,0.0,20,UDP
25935,34257,17,0.0,0.0,20,UDP
25936,34257,17,0.0,0.0,20,UDP
25937,3516,17,0.0,0.0,20,UDP
25938,12388,17,0.0,0.0,20,UDP
25939,41133,17,0.0,0.0,20,UDP
25940,29908,17,0.0,0.0,20,UDP
25941,9892,17,0.0,0.0,20,UDP
25942,45632,17,0.0,0.0,20,UDP
25943,23435,17,0.0,0.0,20,UDP
25944,4402,17,0.0,0.0,32,UDP
25945,45965,17,0.0,0.0,32,UDP
25948,7133,17,0.0,0.0,20,UDP
25949,37344,17,0.0,0.0,32,UDP
25950,56926,17,0.0,0.0,32,UDP
25955,8012,17,0.0,0.0,20,UDP
25956,63731,17,0.0,0.0,20,UDP
25957,36784,17,0.0,0.0,20,UDP
25958,36784,17,0.0,0.0,20,UDP
25959,62248,17,0.0,0.0,20,UDP
25960,432,17,0.0,0.0,20,UDP
25961,3615,17,0.0,0.0,20,UDP
25962,49395,17,0.0,0.0,20,UDP
25963,33940,17,0.0,0.0,20,UDP
25964,19953,17,0.0,0.0,20,UDP
25965,4357,17,0.0,0.0,20,UDP
25966,238,17,0.0,0.0,20,UDP
25967,9712,17,0.0,0.0,20,UDP
25968,39371,17,0.0,0.0,20,UDP
25969,29328,17,0.0,0.0,20,UDP
25970,29328,17,0.0,0.0,20,UDP
25971,50027,17,0.0,0.0,20,UDP
25972,43789,17,0.0,0.0,20,UDP
25973,13683,17,0.0,0.0,20,UDP
25974,9476,17,0.0,0.0,32,UDP
25975,18241,17,0.0,0.0,32,UDP
25976,46788,17,0.0,0.0,32,UDP
25977,14705,17,0.0,0.0,32,UDP
25978,63139,17,0.0,0.0,32,UDP
25979,52277,17,0.0,0.0,32,UDP
25980,34424,17,0.0,0.0,32,UDP
25981,47354,17,0.0,0.0,32,UDP
25982,47354,17,0.0,0.0,32,UDP
25983,19267,17,0.0,0.0,32,UDP
25984,58174,17,0.0,0.0,32,UDP
25985,35671,17,0.0,0.0,32,UDP
25986,48491,17,0.0,0.0,32,UDP
25987,65203,17,0.0,0.0,32,UDP
25988,17224,17,0.0,0.0,32,UDP
25989,35848,17,0.0,0.0,32,UDP
25990,34454,17,0.0,0.0,32,UDP
25991,13538,17,0.0,0.0,32,UDP
25992,3385,6,0.0,0.0,20,UDP
25993,29860,17,0.0,0.0,20,UDP
25994,21970,17,0.0,0.0,20,UDP
25995,51043,17,0.0,0.0,20,UDP
25996,51043,17,0.0,0.0,20,UDP
25997,21209,17,0.0,0.0,20,UDP
25998,5885,17,0.0,0.0,20,UDP
25999,14297,17,0.0,0.0,20,UDP
26000,22405,17,0.0,0.0,20,UDP
26001,6777,17,0.0,0.0,20,UDP
26002,41401,17,0.0,0.0,20,UDP
26003,40606,17,0.0,0.0,32,UDP
26004,13424,17,0.0,0.0,32,UDP
26005,25033,17,0.0,0.0,32,UDP
26006,55573,17,0.0,0.0,32,UDP
26007,55573,17,0.0,0.0,32,UDP
26008,3398,17,0.0,0.0,32,UDP
26009,16901,17,0.0,0.0,32,UDP
26010,38786,17,0.0,0.0,32,UDP
26013,47757,17,0.0,0.0,20,UDP
26014,55131,17,0.0,0.0,32,UDP
26015,14433,17,0.0,0.0,32,UDP
26016,12110,17,0.0,0.0,32,UDP
26017,35515,17,0.0,0.0,32,UDP
26018,42593,17,0.0,0.0,32,UDP
26019,1230,17,0.0,0.0,32,UDP
26020,14003,17,0.0,0.0,32,UDP
26021,48271,17,0.0,0.0,32,UDP
26022,48271,17,0.0,0.0,32,UDP
26023,14517,17,0.0,0.0,32,UDP
26024,34975,17,0.0,0.0,32,UDP
26025,60419,17,0.0,0.0,20,UDP
26026,24859,17,0.0,0.0,20,UDP
26027,26706,17,0.0,0.0,20,UDP
26028,2168,17,0.0,0.0,20,UDP
26029,63364,17,0.0,0.0,20,UDP
26030,35171,17,0.0,0.0,20,UDP
26031,26438,17,0.0,0.0,32,UDP
26032,47019,17,0.0,0.0,32,UDP
26034,59662,17,0.0,0.0,32,UDP
26035,35006,17,0.0,0.0,32,UDP
26036,2524,17,0.0,0.0,32,UDP
26037,63955,17,0.0,0.0,32,UDP
26038,32231,17,0.0,0.0,32,UDP
26039,21650,17,0.0,0.0,32,UDP
26040,21650,17,0.0,0.0,32,UDP
26041,17133,17,0.0,0.0,32,UDP
26043,28683,17,0.0,0.0,40,UDP
26047,15557,17,0.0,0.0,32,UDP
26048,21584,17,0.0,0.0,32,UDP
26049,51806,17,0.0,0.0,32,UDP
26050,17435,17,0.0,0.0,32,UDP
26053,15240,17,0.0,0.0,32,UDP
26054,39949,17,0.0,0.0,32,UDP
26055,22497,17,0.0,0.0,32,UDP
26056,8032,17,0.0,0.0,32,UDP
26058,63605,17,0.0,0.0,32,UDP
26062,42880,17,0.0,0.0,32,UDP
26063,2034,17,0.0,0.0,32,UDP
26064,62711,17,0.0,0.0,32,UDP
26065,14529,17,0.0,0.0,32,UDP
26066,7204,17,0.0,0.0,32,UDP
26067,59870,17,0.0,0.0,32,UDP
26068,59870,17,0.0,0.0,32,UDP
26069,13413,17,0.0,0.0,32,UDP
26070,28559,17,0.0,0.0,32,UDP
26071,11760,17,0.0,0.0,32,UDP
26072,53255,17,0.0,0.0,32,UDP
26073,42483,17,0.0,0.0,32,UDP
26074,10073,17,0.0,0.0,32,UDP
26075,7360,17,0.0,0.0,32,UDP
26076,37421,17,0.0,0.0,32,UDP
26077,1702,17,0.0,0.0,32,UDP
26078,53290,17,0.0,0.0,32,UDP
26079,21832,17,0.0,0.0,32,UDP
26080,53033,17,0.0,0.0,32,UDP
26081,12477,17,0.0,0.0,32,UDP
26082,44453,17,0.0,0.0,32,UDP
26083,63620,17,0.0,0.0,32,UDP
26084,42410,17,0.0,0.0,32,UDP
26085,59851,17,0.0,0.0,32,UDP
26086,29059,17,0.0,0.0,32,UDP
26087,29059,17,0.0,0.0,32,UDP
26088,57284,17,0.0,0.0,32,UDP
26089,51840,17,0.0,0.0,32,UDP
