, Flow Duration,Fwd IAT Total, ACK Flag Count,Init_Win_bytes_forward, min_seg_size_forward, Label
0,36063894,36063894.0,1,5840,20,Syn
1,44851366,44851314.0,1,5840,20,Syn
2,1,1.0,0,0,20,Syn
3,0,0.0,1,5840,20,Syn
4,35731470,35731470.0,1,5840,20,Syn
5,101,1.0,1,5840,20,Syn
6,102,49.0,1,5840,20,Syn
7,1,1.0,1,5840,20,Syn
8,151,51.0,1,5840,20,Syn
9,1,1.0,1,5840,20,Syn
10,0,0.0,1,5840,20,Syn
11,1,1.0,1,5840,20,Syn
12,52,1.0,1,5840,20,Syn
13,48,48.0,1,5840,20,Syn
14,47372101,47371983.0,1,5840,20,Syn
15,6999828,6999828.0,1,5840,20,Syn
16,47549279,47549174.0,1,5840,20,Syn
17,44148046,44148046.0,1,5840,20,Syn
18,104,1.0,1,5840,20,Syn
19,1,1.0,1,5840,20,Syn
20,1,1.0,1,5840,20,Syn
21,46000372,46000272.0,1,5840,20,Syn
22,38848208,38848208.0,1,5840,20,Syn
23,1,1.0,1,5840,20,Syn
24,29962842,29962842.0,1,5840,20,Syn
25,1,1.0,1,5840,20,Syn
26,1,1.0,1,5840,20,Syn
27,113,1.0,1,5840,20,Syn
28,48494766,48494691.0,1,5840,20,Syn
29,0,0.0,1,5840,20,Syn
30,0,0.0,1,5840,20,Syn
31,40421344,40421233.0,1,5840,20,Syn
32,43082212,43082125.0,1,5840,20,Syn
33,45,45.0,1,5840,20,Syn
34,1,1.0,1,5840,20,Syn
35,29999859,29999859.0,1,5840,20,Syn
36,104,1.0,1,5840,20,Syn
37,0,0.0,1,5840,20,Syn
38,110,1.0,1,5840,20,Syn
39,47986607,47986507.0,1,5840,20,Syn
40,102,49.0,1,5840,20,Syn
41,47995180,47995180.0,1,5840,20,Syn
42,42460349,42460298.0,1,5840,20,Syn
43,1,1.0,1,5840,20,Syn
44,36053578,36053578.0,1,5840,20,Syn
45,47968242,47968193.0,1,5840,20,Syn
46,1,1.0,1,5840,20,Syn
47,51,51.0,1,5840,20,Syn
48,102,1.0,1,5840,20,Syn
49,101,49.0,1,5840,20,Syn
50,0,0.0,1,5840,20,Syn
51,45373601,45373601.0,1,5840,20,Syn
52,100,1.0,1,5840,20,Syn
53,43242213,43242213.0,1,5840,20,Syn
54,36920175,36920175.0,1,5840,20,Syn
55,1,1.0,1,5840,20,Syn
56,1,1.0,1,5840,20,Syn
57,31286927,31286927.0,1,5840,20,Syn
58,1,1.0,1,5840,20,Syn
59,102,49.0,1,5840,20,Syn
60,101,1.0,1,5840,20,Syn
61,103,1.0,1,5840,20,Syn
62,44,44.0,1,5840,20,Syn
63,110,1.0,1,5840,20,Syn
64,38079062,38079062.0,1,5840,20,Syn
65,48,48.0,1,5840,20,Syn
66,1,1.0,1,5840,20,Syn
67,52,1.0,1,5840,20,Syn
68,38470661,38470661.0,1,5840,20,Syn
69,1,1.0,1,5840,20,Syn
70,35133976,35133976.0,1,5840,20,Syn
71,101,1.0,1,5840,20,Syn
72,46,46.0,1,5840,20,Syn
73,40406097,40406097.0,1,5840,20,Syn
74,0,0.0,1,5840,20,Syn
75,45289055,45288952.0,1,5840,20,Syn
76,37592647,37592647.0,1,5840,20,Syn
77,107,1.0,1,5840,20,Syn
78,1,1.0,1,5840,20,Syn
79,35167666,35167666.0,1,5840,20,Syn
80,99,1.0,1,5840,20,Syn
81,23342907,23342907.0,1,5840,20,Syn
82,107,1.0,1,5840,20,Syn
83,40825424,40825424.0,1,5840,20,Syn
84,1,1.0,1,5840,20,Syn
85,1,1.0,1,5840,20,Syn
86,47,47.0,1,5840,20,Syn
87,38745574,38745574.0,1,5840,20,Syn
88,99,48.0,1,5840,20,Syn
89,48588503,48588503.0,1,5840,20,Syn
90,42541043,42540944.0,1,5840,20,Syn
91,0,0.0,1,5840,20,Syn
92,47898821,47898821.0,1,5840,20,Syn
93,1,1.0,1,5840,20,Syn
94,41526647,41526551.0,1,5840,20,Syn
95,41581096,41581096.0,1,5840,20,Syn
96,71,1.0,1,5840,20,Syn
97,120,1.0,1,5840,20,Syn
98,38988456,38988456.0,1,5840,20,Syn
99,101,1.0,1,5840,20,Syn
100,40191403,40191296.0,1,5840,20,Syn
101,107,1.0,1,5840,20,Syn
102,0,0.0,1,5840,20,Syn
103,100,1.0,1,5840,20,Syn
104,45548820,45548719.0,1,5840,20,Syn
105,50,50.0,1,5840,20,Syn
106,21665233,21665233.0,1,5840,20,Syn
107,1,1.0,1,5840,20,Syn
108,46,46.0,1,5840,20,Syn
109,1,1.0,1,5840,20,Syn
110,52,0.0,1,5840,20,Syn
111,32290452,32290402.0,1,5840,20,Syn
112,46545212,46545112.0,1,5840,20,Syn
113,2,2.0,1,5840,20,Syn
114,48303889,48303889.0,1,5840,20,Syn
115,19931527,19931527.0,1,5840,20,Syn
116,1,1.0,1,5840,20,Syn
117,2,2.0,1,5840,20,Syn
118,48,48.0,1,5840,20,Syn
119,29518721,29518721.0,1,5840,20,Syn
120,102,1.0,1,5840,20,Syn
121,49,49.0,1,5840,20,Syn
122,0,0.0,1,5840,20,Syn
123,40334957,40334957.0,1,5840,20,Syn
124,68,1.0,1,5840,20,Syn
125,37004586,37004586.0,1,5840,20,Syn
126,43393636,43393636.0,1,5840,20,Syn
127,0,0.0,1,5840,20,Syn
128,52,1.0,1,5840,20,Syn
129,46277336,46277228.0,1,5840,20,Syn
130,39552381,39552381.0,1,5840,20,Syn
131,1,1.0,1,5840,20,Syn
132,37387491,37387491.0,1,5840,20,Syn
133,45394044,45393944.0,1,5840,20,Syn
134,47696450,47696349.0,1,5840,20,Syn
135,113,1.0,1,5840,20,Syn
136,1,1.0,1,5840,20,Syn
137,2,2.0,1,5840,20,Syn
138,99,46.0,1,5840,20,Syn
139,111,50.0,1,5840,20,Syn
140,1,1.0,1,5840,20,Syn
141,38740873,38740873.0,1,5840,20,Syn
142,20464862,20464802.0,1,5840,20,Syn
143,111,1.0,1,5840,20,Syn
144,53,1.0,1,5840,20,Syn
145,26661941,26661854.0,1,5840,20,Syn
146,1,1.0,1,5840,20,Syn
147,36422154,36422154.0,1,5840,20,Syn
148,0,0.0,1,5840,20,Syn
149,40234733,40234733.0,1,5840,20,Syn
150,48,48.0,1,5840,20,Syn
151,36011201,36011201.0,1,5840,20,Syn
152,1,1.0,1,5840,20,Syn
153,1,1.0,1,5840,20,Syn
154,37110576,37110576.0,1,5840,20,Syn
155,40448547,40448444.0,1,5840,20,Syn
156,98,1.0,1,5840,20,Syn
157,47,47.0,1,5840,20,Syn
158,102,1.0,1,5840,20,Syn
159,101,1.0,1,5840,20,Syn
160,56,2.0,1,5840,20,Syn
161,26978348,26978348.0,1,5840,20,Syn
162,35228695,35228695.0,1,5840,20,Syn
163,0,0.0,1,5840,20,Syn
164,1,1.0,1,5840,20,Syn
165,48,48.0,1,5840,20,Syn
166,124,1.0,1,5840,20,Syn
167,34994371,34994371.0,1,5840,20,Syn
168,1,1.0,1,5840,20,Syn
169,117,1.0,1,5840,20,Syn
170,102,1.0,1,5840,20,Syn
171,38534393,38534393.0,1,5840,20,Syn
172,1,1.0,1,5840,20,Syn
173,40154048,40154048.0,1,5840,20,Syn
174,1,1.0,1,5840,20,Syn
175,1,1.0,1,5840,20,Syn
176,39330140,39330140.0,1,5840,20,Syn
177,0,0.0,1,5840,20,Syn
178,1,1.0,1,5840,20,Syn
179,1,1.0,1,5840,20,Syn
180,111,1.0,1,5840,20,Syn
181,55,0.0,1,5840,20,Syn
182,48692863,48692863.0,1,5840,20,Syn
183,1,1.0,1,5840,20,Syn
184,0,0.0,1,5840,20,Syn
185,49114806,49114806.0,1,5840,20,Syn
186,117,50.0,1,5840,20,Syn
187,1,1.0,1,5840,20,Syn
188,102,2.0,1,5840,20,Syn
189,0,0.0,1,5840,20,Syn
190,47768541,47768541.0,1,5840,20,Syn
191,1,1.0,1,5840,20,Syn
192,45667166,45667166.0,1,5840,20,Syn
193,112,1.0,1,5840,20,Syn
194,39607549,39607549.0,1,5840,20,Syn
195,106,1.0,1,5840,20,Syn
196,1,1.0,1,5840,20,Syn
197,47957464,47957464.0,1,5840,20,Syn
198,1,1.0,1,5840,20,Syn
199,46005422,46005422.0,1,5840,20,Syn
200,0,0.0,1,5840,20,Syn
201,0,0.0,1,5840,20,Syn
202,49,49.0,1,5840,20,Syn
203,1,1.0,1,5840,20,Syn
204,47000443,47000443.0,1,5840,20,Syn
205,49,49.0,1,5840,20,Syn
206,110,1.0,1,5840,20,Syn
207,46256034,46256034.0,1,5840,20,Syn
208,42942375,42942375.0,1,5840,20,Syn
209,34994973,34994973.0,1,5840,20,Syn
210,2,2.0,1,5840,20,Syn
211,1,1.0,1,5840,20,Syn
212,104,1.0,1,5840,20,Syn
213,103,0.0,1,5840,20,Syn
214,0,0.0,1,5840,20,Syn
215,39839902,39839902.0,1,5840,20,Syn
216,30450543,30450543.0,1,5840,20,Syn
217,48002149,48002049.0,1,5840,20,Syn
218,40973119,40973119.0,1,5840,20,Syn
219,48999273,48999273.0,1,5840,20,Syn
220,41132065,41132065.0,1,5840,20,Syn
221,0,0.0,1,5840,20,Syn
222,1,1.0,1,5840,20,Syn
223,80,1.0,1,5840,20,Syn
224,1,1.0,1,5840,20,Syn
225,39867445,39867344.0,1,5840,20,Syn
226,80,1.0,1,5840,20,Syn
227,57,1.0,1,5840,20,Syn
228,42354919,42354919.0,1,5840,20,Syn
229,39974227,39974227.0,1,5840,20,Syn
230,0,0.0,1,5840,20,Syn
231,14239387,14239387.0,1,5840,20,Syn
232,35217179,35217179.0,1,5840,20,Syn
233,53,0.0,1,5840,20,Syn
234,49,49.0,1,5840,20,Syn
235,0,0.0,1,5840,20,Syn
236,46630818,46630739.0,1,5840,20,Syn
237,49,49.0,1,5840,20,Syn
238,1,1.0,1,5840,20,Syn
